title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Under Defeat,Nintendo Switch,,owned,,,,,"Apr 24, 2025",Clear River Games,City Connection,Action | Shooter,,,,,"Apr 29, 2025",,,clz
Unicorn Overlord,Nintendo Switch,,owned,,,,,"Mar 08, 2023",Atlus,Vanillaware,RPG | Strategy,,,,,"Apr 15, 2025",,,clz
Valis: The Fantasm Soldier Collection,Nintendo Switch,,owned,,,,,"Jan 07, 2022",Limited Run Games,Telenet Japan,Action | Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Valis: The Fantasm Soldier Collection III,Nintendo Switch,,owned,,,,,"Dec 07, 2023",Limited Run Games,Telenet Japan,Platformer,,,,,"Aug 02, 2025",,,clz
VIRTUAL GIRL @ WORLD'S END,Nintendo Switch,,owned,,,,,"Jun 12, 2025",Bushiroad,Headlock,Visual Novel,,,,,"Sep 04, 2025",,,clz
Waifu Discovered 2: Medieval Fantasy,Nintendo Switch,,owned,,,,,"May 13, 2022",Funbox Media,One Hand Free Studios,Action,,,,,"Apr 15, 2025",,,clz
Waifu Uncovered,Nintendo Switch,,owned,,,,,"Nov 20, 2020",Funbox Media,One Hand Free Studios,Action,,,,,"Apr 15, 2025",,,clz
WarioWare: Get It Together!,Nintendo Switch,,owned,,,,,"Sep 10, 2021",Nintendo,Nintendo,Action,,,,,"Apr 15, 2025",,,clz
WarioWare: Move It!,Nintendo Switch,,owned,,,,,"Nov 03, 2023",Nintendo,Intelligent Systems,Party,,,,,"Apr 15, 2025",,,clz
Wife Quest,Nintendo Switch,,owned,,,,,"Mar 09, 2025",Premium Edition Games,Pippin Games,Platformer,,,,,"May 10, 2025",,,clz
Wonder Boy: Asha in Monster World,Nintendo Switch,,owned,,,,,"May 28, 2021",ININ Games,Monkeycraft,Platformer,,,,,"Apr 15, 2025",,,clz
Xenoblade Chronicles 2,Nintendo Switch,,owned,,,,,"Dec 01, 2017",Nintendo,Monolith Software,RPG,,,,,"Apr 15, 2025",,,clz
Xenoblade Chronicles 2: Torna - The Golden Country,Nintendo Switch,,owned,,,,,"Sep 21, 2018",Nintendo,Monolith Software,RPG,,,,,"Apr 15, 2025",,,clz
Xenoblade Chronicles 3,Nintendo Switch,,owned,,,,,"Jul 29, 2022",Nintendo,Monolith Software,RPG,,,,,"Apr 15, 2025",,,clz
Xenoblade Chronicles: Definitive Edition,Nintendo Switch,,owned,,,,,"May 29, 2020",Nintendo,Monolith Software,RPG,,,,,"Apr 15, 2025",,,clz
Xenoblade Chronicles X: Definitive Edition,Nintendo Switch,,owned,,,,,"Mar 20, 2025",Nintendo,Monolith Software,RPG,,,,,"Apr 15, 2025",,,clz
Yobarai Detective: Miasma Breaker,Nintendo Switch,,owned,,,,,"Feb 05, 2026",Arc System Works,Mebius,Action | Hack & Slash | RPG,,,,,"Apr 04, 2026",,,clz
Yono and the Celestial Elephants,Nintendo Switch,,owned,,,,,"Oct 12, 2017",Plug In Digital,Neckbolt,Adventure,,,,,"Apr 15, 2025",,,clz
Yoshi's Crafted World,Nintendo Switch,,owned,,,,,"Mar 29, 2019",Nintendo,Good-Feel,Platformer,,,,,"Apr 15, 2025",,,clz
Ys Memoire: Memories of Celceta,Nintendo Switch,,owned,,,,,,Marvelous,Falcom,,,,,,"Apr 28, 2026",,,clz
Yu-Gi-Oh! Early Days Collection,Nintendo Switch,,owned,,,,,"Feb 27, 2025",Konami Digital Entertainment GmbH,Digital Eclipse,Compilation,,,,,"Apr 15, 2025",,,clz
Animal Crossing: Amiibo Festival,Wii U,,owned,,,,,"Nov 20, 2015",Nintendo,Nintendo,Party,,,,,"Apr 15, 2025",,,clz
Kirby and the Rainbow Curse,Wii U,,owned,,,,,"May 08, 2015",Nintendo,Nintendo,Action/Adventure,,,,,"Apr 15, 2025",,,clz
LEGO Marvel Super Heroes,Wii U,,owned,,,,,"Nov 15, 2013",Warner Bros Interactive,Travellers Tales,Action/Adventure,,,,,"Apr 15, 2025",,,clz
LEGO Star Wars: The Force Awakens,Wii U,,owned,,,,,"Jul 08, 2016",Warner Bros Interactive,Travellers Tales,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Mario Tennis: Ultra Smash,Wii U,,owned,,,,,"Nov 20, 2015",Nintendo,Nintendo,Sports,,,,,"Apr 15, 2025",,,clz
Mass Effect 3,Wii U,,owned,,,,,"Nov 30, 2012",Electronic Arts,BioWare,RPG,,,,,"Apr 15, 2025",,,clz
Paper Mario Color Splash,Wii U,,owned,,,,,"Oct 07, 2016",Nintendo,Nintendo,Action/Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Star Fox Zero,Wii U,,owned,,,,,"Apr 22, 2016",Nintendo,Nintendo,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Super Mario Maker,Wii U,,owned,,,,,"Sep 11, 2015",Nintendo,Nintendo,Entertainment | Platformer | Productivity,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: The Wind Waker HD,Wii U,,owned,,,,,"Oct 04, 2013",Nintendo,Nintendo,Action/Adventure | Adventure,,,,,"Apr 15, 2025",,,clz
The LEGO Movie Videogame,Wii U,,owned,,,,,"Feb 14, 2014",Warner Bros Interactive,Travellers Tales,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Yoshi's Woolly World,Wii U,,owned,,,,,"Jun 26, 2015",Nintendo,Nintendo,Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Donkey Kong 64,Nintendo 64,,owned,,,,,"Nov 23, 1999",Nintendo,Rare,Platformer,,,,,"Apr 15, 2025",,,clz
Mario Tennis,Nintendo 64,,owned,,,,,"Jul 21, 2000",Nintendo,Camelot Software Planning,Sports,,,,,"Apr 15, 2025",,,clz
NBA Hang Time,Nintendo 64,,owned,,,,,"Jan 17, 1997",Midway,Fun Com,Sports,,,,,"Apr 15, 2025",,,clz
Pokémon Snap,Nintendo 64,,owned,,,,,"Jul 26, 1999",Nintendo,HAL Laboratory,Adventure | Simulation,,,,,"Apr 15, 2025",,,clz
Pokémon Stadium,Nintendo 64,,owned,,,,,"Mar 13, 2000",Nintendo,HAL Labs,Battle | Strategy,,,,,"Apr 15, 2025",,,clz
Pokémon Stadium 2,Nintendo 64,,owned,,,,,"Mar 26, 2001",Nintendo,HAL Laboratory,Battle | Fighting | Strategy,,,,,"Apr 15, 2025",,,clz
Super Mario 64,Nintendo 64,,owned,,,,,"Sep 26, 1996",Nintendo,Nintendo,Adventure | Platformer,,,,,"Apr 14, 2025",,,clz
Pokémon Alpha Sapphire,Nintendo 3DS,,owned,,,,,"Nov 28, 2014",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Moon,Nintendo 3DS,,owned,,,,,"Nov 23, 2016",Nintendo,Nintendo,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon X,Nintendo 3DS,,owned,,,,,"Oct 12, 2013",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Professor Layton and the Azran Legacy,Nintendo 3DS,,owned,,,,,"Nov 08, 2013",Nintendo,Level-5,Puzzle,,,,,"Apr 15, 2025",,,clz
Super Monkey Ball,Nintendo 3DS,,owned,,,,,"Mar 21, 2011",Sega,Sega,Action,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Ocarina of Time 3D,Nintendo 3DS,,owned,,,,,"Jun 20, 2011",Nintendo,Nintendo,Action/Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Bibi Blocksberg: Der verhexte Schloss-Schatz,Nintendo DS,,owned,,,,,2012,Kiddinx,Bitfield,,,,,,"Apr 15, 2025",,,clz
Metroid Prime: Hunters: First Hunt,Nintendo DS,,owned,,,,,"Aug 22, 2005",Nintendo,Nintendo,FPS,,,,,"Apr 15, 2025",,,clz
Pokémon Black Version,Nintendo DS,,owned,,,,,"Mar 06, 2011",Nintendo,Nintendo,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Black Version 2,Nintendo DS,,owned,,,,,"Oct 12, 2012",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Professor Layton and the Lost Future,Nintendo DS,,owned,,,,,"Sep 14, 2010",Nintendo,Level-5,Adventure | Puzzle,,,,,"Apr 15, 2025",,,clz
Yu-Gi-Oh! Nightmare Troubadour,Nintendo DS,,owned,,,,,"Aug 30, 2005",Konami Digital Entertainment,Konami,Action | Card,,,,,"Apr 15, 2025",,,clz
Advance Wars,Game Boy Advance,,owned,,,,,"Sep 11, 2001",Nintendo,Intelligent Systems,Strategy,,,,,"Apr 15, 2025",,,clz
Dragon Ball Z: The Legacy of Goku,Game Boy Advance,,owned,,,,,"May 14, 2002",Infogrames,"Webfoot Technologies, Inc.",RPG,,,,,"Apr 15, 2025",,,clz
F-Zero: Maximum Velocity,Game Boy Advance,,owned,,,,,"Jun 11, 2001",Nintendo,Nintendo,Racing,,,,,"Apr 15, 2025",,,clz
Final Fantasy I & II: Dawn of Souls,Game Boy Advance,,owned,,,,,"Nov 29, 2004",Nintendo,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Final Fantasy Tactics Advance,Game Boy Advance,,owned,,,,,"Sep 11, 2003",Nintendo,Square Enix,RPG | Strategy,,,,,"Apr 15, 2025",,,clz
Golden Sun,Game Boy Advance,,owned,,,,,"Nov 13, 2001","Nintendo of America, Inc.",Camelot Software Planning,RPG,,,,,"Apr 15, 2025",,,clz
Mario Kart Super Circuit,Game Boy Advance,,owned,,,,,"Aug 28, 2001",Nintendo,Intelligent Systems,Racing,,,,,"Apr 15, 2025",,,clz
Pokémon Leaf Green Version,Game Boy Advance,,owned,,,,,"Sep 08, 2004",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Pinball: Ruby & Sapphire,Game Boy Advance,,owned,,,,,"Aug 25, 2003",Nintendo,Nintendo,Pinball,,,,,"Apr 15, 2025",,,clz
Pokémon Ruby Version,Game Boy Advance,,owned,,,,,"Mar 18, 2003",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Shining Soul II,Game Boy Advance,,owned,,,,,"Apr 21, 2004",Atlus,Sega,Action | RPG,,,,,"Apr 15, 2025",,,clz
Star Wars: Episode II Attack of the Clones,Game Boy Advance,,owned,,,,,"May 31, 2002",THQ,David A. Palmer IMS Productions,Action,,,,,"Apr 15, 2025",,,clz
Super Mario World: Super Mario Advance 2,Game Boy Advance,,owned,,,,,"Feb 11, 2002","Nintendo of America, Inc.",Nintendo,Action | Adventure | Platformer,,,,,"Apr 15, 2025",,,clz
Tekken Advance,Game Boy Advance,,owned,,,,,"Feb 01, 2002",Namco,Namco,Fighting,,,,,"Apr 15, 2025",,,clz
Wario Land 4,Game Boy Advance,,owned,,,,,"Nov 16, 2001",Nintendo,Nintendo,Action | Platformer,,,,,"Apr 15, 2025",,,clz
Yu-Gi-Oh! The Sacred Cards,Game Boy Advance,,owned,,,,,"Nov 04, 2003",Konami,Konami,RPG,,,,,"Apr 15, 2025",,,clz
Yu-Gi-Oh! World Championship Tournament 2004,Game Boy Advance,,owned,,,,,"Feb 11, 2004",Konami,Konami,Card,,,,,"Apr 15, 2025",,,clz
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Game Boy Advance,,owned,,,,,"Apr 16, 2003",Konami,Konami,Card,,,,,"Apr 15, 2025",,,clz
Pokémon Crystal Version,Game Boy Color,,owned,,,,,"Jul 30, 2001",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Gold Version,Game Boy Color,,owned,,,,,"Oct 14, 2000",Nintendo,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Pinball,Game Boy Color,,owned,,,,,"Jul 31, 1999",Nintendo,Jupiter,Action | Pinball,,,,,"Apr 15, 2025",,,clz
Pokémon Silver Version,Game Boy Color,,owned,,,,,"Oct 12, 2000",Nintendo,Game Freak,Adventure | Fighting | RPG,,,,,"Apr 15, 2025",,,clz
Pokémon Trading Card Game,Game Boy Color,,owned,,,,,"Apr 17, 2000","Nintendo of America, Inc.",Nintendo Co. Ltd.,Card | Strategy,,,,,"Apr 15, 2025",,,clz
Batman: Return of the Joker,Game Boy,,owned,,,,,1992,Sunsoft,Sunsoft,Action,,,,,"Apr 15, 2025",,,clz
Golf,Game Boy,,owned,,,,,"Mar 28, 1990",Nintendo,Nintendo Co. Ltd.,Sports,,,,,"Apr 15, 2025",,,clz
Mickey's Dangerous Chase,Game Boy,,owned,,,,,1991,"Capcom USA, Inc.","Capcom Co., Ltd.",Action,,,,,"Apr 15, 2025",,,clz
Pokémon Yellow Version,Game Boy,,owned,,,,,"Oct 19, 1999",Nintendo,"Game Freak, Inc.",Action | RPG,,,,,"Apr 15, 2025",,,clz
Super Mario Land 2: 6 Golden Coins,Game Boy,,owned,,,,,"Nov 01, 1992","Nintendo of America, Inc.",Nintendo Co. Ltd.,Platformer,,,,,"Apr 15, 2025",,,clz
The Legend of Zelda: Link's Awakening,Game Boy,,owned,,,,,"Nov 18, 1993",Nintendo,Nintendo,Action/Adventure | RPG,,,,,"Apr 15, 2025",,,clz
Wave Race,Game Boy,,owned,,,,,Jul 1992,Nintendo,Pax Softonica,Racing,,,,,"Apr 15, 2025",,,clz
Alan Wake Remastered,PlayStation 5,,owned,,,,,"Oct 05, 2021",Epic Entertainment,Remedy,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Alone in the Dark,PlayStation 5,,owned,,,,,"Mar 20, 2024",THQ Nordic,Pieces Interactive,Action | Adventure | Horror,,,,,"Jul 24, 2026",,,clz
Assassin's Creed Black Flag Resynced,PlayStation 5,,owned,,,,,"Jul 09, 2026",Ubisoft,Ubisoft,Action/Adventure | Sandbox | Stealth,,,,,"Jul 11, 2026",,,clz
Assassin's Creed Mirage,PlayStation 5,,owned,,,,,"Oct 12, 2023",Ubisoft,Ubisoft,Action/Adventure,,,,,"Jul 24, 2026",,,clz
Assassin's Creed Valhalla,PlayStation 5,,owned,,,,,"Nov 12, 2020",Ubisoft,Ubisoft,Action/Adventure,,,,,"Jul 24, 2026",,,clz
Astro Bot,PlayStation 5,,owned,,,,,"Sep 06, 2024",SIEE,Team Asobi,Platformer,,,,,"Apr 15, 2025",,,clz
Atomic Heart,PlayStation 5,,owned,,,,,"Feb 21, 2023",Focus Home Interactive,Mundfish,FPS,,,,,"Jul 11, 2026",,,clz
Beast Of Reincarnation,PlayStation 5,,owned,,,,,"Aug 04, 2026",Fictions,Game Freak,Action | RPG,,,,,"Aug 04, 2026",,,clz
Black Myth: Wukong,PlayStation 5,,owned,,,,,"Dec 12, 2024",PM Studios,Game Science,Action/Adventure,,,,,"Aug 25, 2026",,,clz
BloodRayne 2: ReVamped,PlayStation 5,,owned,,,,,"Nov 14, 2022",Limited Run Games,Ziggurat,Action | Adventure,,,,,"Apr 15, 2025",,,clz
Bloodrayne: ReVamped,PlayStation 5,,owned,,,,,"Nov 14, 2022",Limited Run Games,Ziggurat,Action | Adventure,,,,,"Apr 15, 2025",,,clz
Control,PlayStation 5,,owned,,,,,"Mar 02, 2021",505 Games,Remedy,Action/Adventure,,,,,"Jul 17, 2026",,,clz
Crimson Desert,PlayStation 5,,owned,,,,,"Mar 19, 2026",Plaion,Pearl Abyss,Action/Adventure,,,,,"Aug 28, 2026",,,clz
Dead Island 2,PlayStation 5,,owned,,,,,"Apr 21, 2023",Deep Silver,Dambuster Studios,FPS,,,,,"Apr 15, 2025",,,clz
Death Stranding 2: On The Beach,PlayStation 5,,owned,,,,,"Jun 26, 2025",SIEE,Kojima Productions,Action | Adventure,,,,,"Sep 07, 2026",,,clz
Deathloop,PlayStation 5,,owned,,,,,"Sep 14, 2021",Bethesda Softworks,Arkane Studios,FPS,,,,,"Apr 15, 2025",,,clz
Demon's Souls,PlayStation 5,,owned,,,,,"Nov 12, 2020",SIEE,Bluepoint Games,RPG,,,,,"Apr 15, 2025",,,clz
Directive 8020,PlayStation 5,,owned,,,,,"May 12, 2026",Bandai Namco,Supermassive Games,Action/Adventure | Survival,,,,,"Aug 28, 2026",,,clz
Fable,PlayStation 5,,ordered,,,,,,,,,,,,,,,,clz
Final Fantasy VII Rebirth,PlayStation 5,,owned,,,,,"Feb 29, 2024",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Final Fantasy XVI,PlayStation 5,,owned,,,,,"Jun 22, 2023",Square Enix,Creative Business Unit III,Action | RPG,,,,,"Apr 15, 2025",,,clz
Full Metal Schoolgirl,PlayStation 5,,owned,,,,,"Oct 23, 2025",D3Publisher,Yuke's,Third Person Shooter,,,,,"Sep 25, 2026",,,clz
Ghost of Yōtei,PlayStation 5,,owned,,,,,"Oct 02, 2025",Sony Computer Entertainment Europe,Sucker Punch,Action/Adventure,,,,,"Oct 02, 2025",,,clz
God of War: Ragnarök,PlayStation 5,,owned,,,,,"Nov 09, 2022",SCEE,SCEI,Action,,,,,"Apr 15, 2025",,,clz
Gran Turismo 7,PlayStation 5,,owned,,,,,"Mar 04, 2022",SIEE,Polyphony D.,Racing,,,,,"Apr 15, 2025",,,clz
Halo: Campaign Evolved,PlayStation 5,,owned,,,,,"Jul 28, 2026",Microsoft,HAL Labs,Action/Adventure | FPS | Shooter,,,,,"Sep 07, 2026",,,clz
Horizon Forbidden West,PlayStation 5,,owned,,,,,"Feb 18, 2022",SIEE,Guerrilla,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Kena: Bridge of Spirits,PlayStation 5,,owned,,,,,"Nov 19, 2021",Maximum Games,Ember Lab,Action/Adventure,,,,,"Apr 15, 2025",,,clz
LEGO Batman: Legacy of the Dark Knight,PlayStation 5,,owned,,,,,"May 19, 2026",Warner Bros Interactive,Travellers Tales,Action/Adventure | Open World,,,,,"Jul 11, 2026",,,clz
Lords Of The Fallen,PlayStation 5,,owned,,,,,"Oct 13, 2023",CI Games,Hexworks,RPG,,,,,"Jul 29, 2026",,,clz
Marvel's Spider-Man 2,PlayStation 5,,owned,,,,,"Oct 20, 2023",Sony Computer Entertainment Europe,Insomniac Games,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Marvel's Spider-Man: Miles Morales,PlayStation 5,,owned,,,,,"Nov 12, 2020",SIEE,Insomniac Games,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Marvel's Wolverine,PlayStation 5,,owned,,,,,"Sep 15, 2026",,,Action | Adventure,,,,,"Sep 15, 2026",,,clz
Marvel Tokon: Fighting Souls,PlayStation 5,,owned,,,,,"Aug 06, 2026",SIEE,Arc System Works,Fighting,,,,,"Aug 08, 2026",,,clz
Metal Gear Solid Delta: Snake Eater,PlayStation 5,,owned,,,,,"Aug 28, 2025",Konami Digital Entertainment GmbH,Konami,Action | Adventure,,,,,"Aug 07, 2026",,,clz
Metal Gear Solid: Master Collection Vol. 1,PlayStation 5,,owned,,,,,"Oct 24, 2023",Konami Digital Entertainment GmbH,Konami,Action | Tactical,,,,,"Jul 20, 2026",,,clz
Metal Gear Solid: Master Collection Vol.2,PlayStation 5,,owned,,,,,"Aug 27, 2026",,,Action | Adventure,,,,,"Aug 28, 2026",,,clz
Ninja Gaiden 2 Black,PlayStation 5,,owned,,,,,"Jan 23, 2025",Koei Tecmo Games,Team Ninja,Action,,,,,"Sep 25, 2026",,,clz
Ninja Gaiden 4,PlayStation 5,,owned,,,,,"Oct 21, 2025",KOEI TECMO Europe,Team Ninja,Action/Adventure,,,,,"Aug 28, 2026",,,clz
Nioh 3,PlayStation 5,,owned,,,,,"Feb 06, 2026",KOEI TECMO Europe,Team Ninja,Action/Adventure | RPG,,,,,"Jul 20, 2026",,,clz
Onimusha: Way Of The Sword,PlayStation 5,,owned,,,,,"Sep 04, 2026",Capcom,Capcom,Action | Adventure,,,,,"Sep 04, 2026",,,clz
Pragmata,PlayStation 5,,owned,,,,,"Apr 17, 2026",Capcom,Capcom,Action/Adventure | Third Person Shooter,,,,,"Sep 09, 2026",,,clz
Ratchet & Clank: Rift Apart,PlayStation 5,,owned,,,,,"Jun 11, 2021",SIEE,Insomniac Games,Platformer | Shooter,,,,,"Apr 15, 2025",,,clz
Resident Evil 2,PlayStation 5,,owned,,,,,"Dec 06, 2024",Capcom,M2,Action/Adventure | Horror,,,,,"Jul 24, 2026",,,clz
Resident Evil 3,PlayStation 5,,owned,,,,,"Jan 10, 2025",Capcom,M2,Action/Adventure,,,,,"Aug 28, 2026",,,clz
Resident Evil 4,PlayStation 5,,owned,,,,,"Mar 24, 2023",Capcom,Capcom,Action | Action/Adventure | Horror,,,,,"Sep 09, 2026",,,clz
Resident Evil: Biohazard,PlayStation 5,,owned,,,,,"Dec 10, 2024",Capcom,Capcom,Action | Survival Horror,,,,,"Aug 28, 2026",,,clz
Resident Evil Village,PlayStation 5,,owned,,,,,"May 07, 2021",Capcom,Capcom,Action/Adventure,,,,,"Aug 28, 2026",,,clz
Returnal,PlayStation 5,,owned,,,,,"Apr 30, 2021",SIEE,Housemarque,Action | Shooter,,,,,"Apr 15, 2025",,,clz
Rise of the Ronin,PlayStation 5,,owned,,,,,"Mar 22, 2024",TECMO KOEI Europe,Team Ninja,Action | Adventure,,,,,"Apr 15, 2025",,,clz
RoboCop: Rogue City - Collection,PlayStation 5,,owned,,,,,"Jul 17, 2025",Nacon,Teyon,Action/Adventure | Compilation,,,,,"Sep 04, 2026",,,clz
Sackboy: A Big Adventure,PlayStation 5,,owned,,,,,"Nov 12, 2020",SIEE,Sumo Digital,Platformer,,,,,"Apr 15, 2025",,,clz
Saints Row,PlayStation 5,,owned,,,,,"Aug 23, 2022",Deep Silver,Volition,Action | Action/Adventure | Adventure,,,,,"Apr 15, 2025",,,clz
Saros,PlayStation 5,,owned,,,,,"Apr 30, 2026",SIEE,Housemarque,Third Person Shooter,,,,,"Apr 30, 2026",,,clz
Silent Hill f,PlayStation 5,,owned,,,,,"Sep 25, 2025",Konami Digital Entertainment GmbH,NeoBards Entertainment,Horror,,,,,"Aug 28, 2026",,,clz
Star Ocean: The Divine Force,PlayStation 5,,owned,,,,,"Oct 27, 2022",Square Enix,Tri-Ace,Action | RPG,,,,,"Jul 24, 2026",,,clz
Stellar Blade,PlayStation 5,,owned,,,,,"Apr 26, 2024",SIEE,,Action | Adventure,,,,,"Apr 15, 2025",,,clz
Stranger of Paradise: Final Fantasy Origin,PlayStation 5,,owned,,,,,"Mar 18, 2022",Square Enix,Team Ninja,RPG,,,,,"Apr 15, 2025",,,clz
The Blood Of Dawnwalker,PlayStation 5,,owned,,,,,"Sep 03, 2026",Bandai Namco,Rebel Wolves,Action | RPG,,,,,"Sep 04, 2026",,,clz
The King of Fighters XV,PlayStation 5,,owned,,,,,"Feb 17, 2022",KOCH Media,SNK Corporation,Arcade | Fighting,,,,,"Apr 15, 2025",,,clz
The Nioh Collection,PlayStation 5,,owned,,,,,"Feb 05, 2021",TECMO KOEI Europe,Team Ninja,Action,,,,,"Jul 24, 2026",,,clz
Venus Vacation Prism: Dead Or Alive Xtreme,PlayStation 5,,owned,,,,,"Mar 27, 2025",Koei Tecmo Games,Team Ninja,Simulation | Visual Novel,,,,,"Apr 17, 2025",,,clz
WUCHANG: Fallen Feathers,PlayStation 5,,owned,,,,,"Jul 24, 2025",505 Games,Leenzee Games,RPG,,,,,"Jul 24, 2026",,,clz
Assassin's Creed IV: Black Flag,PlayStation 4,,owned,,,,,"Nov 22, 2013",Ubisoft,Ubisoft,Action,,,,,"Apr 15, 2025",,,clz
Assassin's Creed: Odyssey,PlayStation 4,,owned,,,,,"Oct 05, 2018",Ubisoft,Ubisoft,Action/Adventure,,,,,"Jul 24, 2026",,,clz
Assassin's Creed Origins,PlayStation 4,,owned,,,,,"Oct 27, 2017",Ubisoft,Ubisoft,Action,,,,,"Apr 15, 2025",,,clz
Assassin's Creed: Rogue Remastered,PlayStation 4,,owned,,,,,"Mar 20, 2018",Ubisoft,Ubisoft,Action/Adventure,,,,,"Jul 24, 2026",,,clz
Assassin's Creed Syndicate,PlayStation 4,,owned,,,,,"Oct 23, 2015",Ubisoft,Ubisoft,Action,,,,,"Jul 24, 2026",,,clz
Assassin's Creed: Unity,PlayStation 4,,owned,,,,,"Nov 14, 2014",Ubisoft,Ubisoft,Action,,,,,"Apr 15, 2025",,,clz
Batman: Arkham Knight,PlayStation 4,,owned,,,,,"Jun 23, 2015",Warner Bros Interactive,Rocksteady Studios,Action,,,,,"Apr 15, 2025",,,clz
Bloodborne,PlayStation 4,,owned,,,,,"Mar 25, 2015",SCEE,From Software,RPG,,,,,"Aug 04, 2026",,,clz
Concrete Genie,PlayStation 4,,owned,,,,,"Oct 09, 2019",SIEE,Pixelopus,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Diablo III: Ultimate Evil Edition,PlayStation 4,,owned,,,,,"Aug 19, 2014",Activision,Blizzard Entertainment,RPG,,,,,"Apr 15, 2025",,,clz
Dragon Quest XI: Echoes Of An Elusive Age,PlayStation 4,,owned,,,,,"Sep 04, 2018",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
DriveClub,PlayStation 4,,owned,,,,,"Oct 10, 2014",SCEE,Evolution Studios,Racing,,,,,"Apr 15, 2025",,,clz
Final Fantasy VII Remake,PlayStation 4,,owned,,,,,"Apr 10, 2020",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Ghost of Tsushima,PlayStation 4,,owned,,,,,"Jul 17, 2020",SIEE,Sucker Punch,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Horizon: Zero Dawn,PlayStation 4,,owned,,,,,"Mar 03, 2017",SIEE,Guerrilla,Action/Adventure | RPG,,,,,"Apr 15, 2025",,,clz
John Wick Hex,PlayStation 4,,owned,,,,,"Dec 04, 2020",Good Shepherd Entertainment,Bithell Games,Strategy,,,,,"Jul 24, 2026",,,clz
Killzone: Shadow Fall,PlayStation 4,,owned,,,,,"Nov 29, 2013",SCEE,Guerrilla Games,Action | Shooter,,,,,"Apr 15, 2025",,,clz
Kingdom Hearts III,PlayStation 4,,owned,,,,,"Jan 29, 2019",Square Enix,Square Enix,RPG,,,,,"Apr 15, 2025",,,clz
Mark McMorris Infinite Air,PlayStation 4,,owned,,,,,"Oct 25, 2016",Maximum Games,HB Studios Multimedia,Action | Adventure,,,,,"Jul 24, 2026",,,clz
Marvel's Avengers,PlayStation 4,,owned,,,,,"Sep 04, 2020",Square Enix,Crystal Dynamics,Action/Adventure,,,,,"Apr 15, 2025",,,clz
Mass Effect: Andromeda,PlayStation 4,,owned,,,,,"Mar 23, 2017",Electronic Arts,BioWare,RPG,,,,,"Apr 15, 2025",,,clz
Mortal Shell,PlayStation 4,,owned,,,,,"Oct 23, 2020",Playstack,Cold Symmetry,Action | RPG,,,,,"Aug 07, 2026",,,clz
NBA 2K14,PlayStation 4,,owned,,,,,"Nov 29, 2013",2K Sports,Visual Concepts,Sports,,,,,"Apr 15, 2025",,,clz
Need for Speed: Rivals,PlayStation 4,,owned,,,,,"Nov 29, 2013",Electronic Arts,Ghost Games,Racing,,,,,"Apr 15, 2025",,,clz
Neptunia x Senran Kagura: Ninja Wars,PlayStation 4,,owned,,,,,"Oct 29, 2021",Idea Factory International,Tamsoft,RPG,,,,,"Apr 15, 2025",,,clz
Ni No Kuni 2: Revenant Kingdom,PlayStation 4,,owned,,,,,"Mar 23, 2018",Bandai Namco,Level-5,RPG,,,,,"Apr 15, 2025",,,clz
Ninja Gaiden: Master Collection,PlayStation 4,,owned,,,,,"Jun 11, 2021",,,Action | Adventure,,,,,"Apr 15, 2025",,,clz
No Man's Sky,PlayStation 4,,owned,,,,,"Aug 12, 2016",SCEE,Hello Games,Action | Sandbox,,,,,"Apr 15, 2025",,,clz
