title,platform,edition,status,format,region,completeness,condition,release_date,publisher,developer,genre,barcode,purchase_date,purchase_price,store,added_date,notes,clz_index,source
Kirby Star Allies,Nintendo Switch,,owned,,,,,"Mar 16, 2018",Nintendo,HAL Labs,Platformer,,,,,"Apr 15, 2025",,,clz
Labyrinth of Refrain: Coven of Dusk,Nintendo Switch,,owned,,,,,"Sep 21, 2018",NIS Europe,Nippon Ichi Software,RPG,,,,,"Apr 15, 2025",,,clz
Layton's Mystery Journey: Katrielle And The Millionaires' Conspiracy,Nintendo Switch,,owned,,,,,"Nov 08, 2019",Nintendo,Level-5,Adventure | Puzzle,,,,,"Apr 15, 2025",,,clz
Legend of Mana,Nintendo Switch,,owned,,,,,"Jun 24, 2021",Square Enix,Square,Action | RPG,,,,,"Apr 15, 2025",,,clz
LEGO City Undercover,Nintendo Switch,,owned,,,,,"Apr 07, 2017",Warner Bros Interactive,Travellers Tales,Action/Adventure,,,,,"Apr 15, 2025",,,clz
LEGO Party!,Nintendo Switch,,owned,,,,,"Sep 30, 2025",Fictions,SMG Studio,Party,,,,,"Oct 04, 2025",,,clz
Little Town Hero,Nintendo Switch,,owned,,,,,"Jun 26, 2020",NIS Europe,Game Freak,RPG,,,,,"Apr 15, 2025",,,clz
Live A Live,Nintendo Switch,,owned,,,,,"Jul 22, 2022",Nintendo,historia Inc.,RPG,,,,,"Apr 15, 2025",,,clz
Livestream: Escape From Hotel Izanami + Livestream 2: Escape From Togaezuka Happy Place Collection,Nintendo Switch,,owned,,,,,"Apr 10, 2025",,,Horror,,,,,"Apr 25, 2025",,,clz
Lollipop Chainsaw: RePop,Nintendo Switch,,owned,,,,,"Oct 08, 2025",Clear River Games,Dragami Games,Action | Adventure,,,,,"Oct 09, 2025",,,clz
Loopers,Nintendo Switch,,owned,,,,,"Jun 02, 2022",Prototype,Key,Visual Novel,,,,,"Apr 15, 2025",,,clz
Lost Ruins,Nintendo Switch,,owned,,,,,"Jun 03, 2024",Red Art Games,,Action/Adventure,,,,,"Apr 29, 2025",,,clz
